vm,timestamp,service,message,requestId
MSVirtualMachine-1,,mystack_user-publication-service,regeshengen@MSVirtualMachine-1:~$ sudo docker service logs --since 5m --timestamps mystack_user-publication-service,
MSVirtualMachine-2,2025-11-07T01:26:17.550904455Z,mystack_user-publication-service,2025-11-07T01:26:17.549Z  INFO 1 --- [app] [nio-8081-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet',
MSVirtualMachine-2,2025-11-07T01:26:17.550945252Z,mystack_user-publication-service,2025-11-07T01:26:17.549Z  INFO 1 --- [app] [nio-8081-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet',
MSVirtualMachine-2,2025-11-07T01:26:17.552599412Z,mystack_user-publication-service,2025-11-07T01:26:17.552Z  INFO 1 --- [app] [nio-8081-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 2 ms,
MSVirtualMachine-2,2025-11-07T01:26:19.562336816Z,mystack_user-publication-service,[Java Service] Recebido upload. Título original: Title of Publication,
MSVirtualMachine-2,2025-11-07T01:26:19.669630414Z,mystack_user-publication-service,[Java Service] Metadados da imagem extraídos com sucesso. Tags encontradas: 145,
MSVirtualMachine-2,2025-11-07T01:26:19.669706031Z,mystack_user-publication-service,[Java Service] Buscando dados do usuário em: http://user-auth-service:8080/api/v1/uuid/a3b8d4f6-7e1c-4b9a-9d0f-2c5e1a8b7c6d,
MSVirtualMachine-2,2025-11-07T01:26:19.869806556Z,mystack_user-publication-service,[Java Service] Dados do usuário recebidos: admin,
MSVirtualMachine-2,2025-11-07T01:26:19.869837956Z,mystack_user-publication-service,[Java Service] Enviando payload combinado para o serviço Node.js em: http://get-data:8083/process-java-payload,
MSVirtualMachine-2,2025-11-07T01:26:19.992797671Z,mystack_user-publication-service,[Java Service] Resposta do serviço Node.js recebida. Status: 200 OK,
