vm,timestamp,service,message,requestId
MSVirtualMachine-1,,mystack_user-publication-service,regeshengen@MSVirtualMachine-1:~$ sudo docker service logs --since 5m --timestamps mystack_user-publication-service,
MSVirtualMachine-1,2025-11-07T01:13:42.748028648Z,mystack_user-publication-service,2025-11-07T01:13:42.746Z  INFO 1 --- [app] [nio-8081-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet',
MSVirtualMachine-1,2025-11-07T01:13:42.748097248Z,mystack_user-publication-service,2025-11-07T01:13:42.747Z  INFO 1 --- [app] [nio-8081-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet',
MSVirtualMachine-1,2025-11-07T01:13:42.750290176Z,mystack_user-publication-service,2025-11-07T01:13:42.749Z  INFO 1 --- [app] [nio-8081-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 2 ms,
MSVirtualMachine-1,2025-11-07T01:13:44.744936139Z,mystack_user-publication-service,[Java Service] Recebido upload. Título original: Title of Publication,
MSVirtualMachine-1,2025-11-07T01:13:44.883938592Z,mystack_user-publication-service,[Java Service] Metadados da imagem extraídos com sucesso. Tags encontradas: 145,
MSVirtualMachine-1,2025-11-07T01:13:44.883988193Z,mystack_user-publication-service,[Java Service] Buscando dados do usuário em: http://user-auth-service:8080/api/v1/uuid/a3b8d4f6-7e1c-4b9a-9d0f-2c5e1a8b7c6d,
MSVirtualMachine-1,2025-11-07T01:13:45.770448575Z,mystack_user-publication-service,[Java Service] Dados do usuário recebidos: admin,
MSVirtualMachine-1,2025-11-07T01:13:45.771441988Z,mystack_user-publication-service,[Java Service] Enviando payload combinado para o serviço Node.js em: http://get-data:8083/process-java-payload,
MSVirtualMachine-1,2025-11-07T01:13:46.373440856Z,mystack_user-publication-service,[Java Service] Resposta do serviço Node.js recebida. Status: 200 OK,
MSVirtualMachine-1,,mystack_user-auth-service,regeshengen@MSVirtualMachine-1:~$ sudo docker service logs --since 5m --timestamps mystack_user-auth-service,
MSVirtualMachine-1,2025-11-07T01:13:45.348350251Z,mystack_user-auth-service,2025-11-07T01:13:45.345Z  INFO 1 --- [demo] [nio-8080-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet',
MSVirtualMachine-1,2025-11-07T01:13:45.348971858Z,mystack_user-auth-service,2025-11-07T01:13:45.348Z  INFO 1 --- [demo] [nio-8080-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet',
MSVirtualMachine-1,2025-11-07T01:13:45.354817632Z,mystack_user-auth-service,2025-11-07T01:13:45.354Z  INFO 1 --- [demo] [nio-8080-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 5 ms,
MSVirtualMachine-1,2025-11-07T01:13:45.507920064Z,mystack_user-auth-service,[Java Service] Usuário encontrado por UUID: admin (a3b8d4f6-7e1c-4b9a-9d0f-2c5e1a8b7c6d),
MSVirtualMachine-1,,mystack_get-data,regeshengen@MSVirtualMachine-1:~$ sudo docker service logs --since 5m --timestamps mystack_get-data,
MSVirtualMachine-1,2025-11-07T01:13:45.897245175Z,mystack_get-data,[Service 1 - Rota /process-java-payload] Payload do serviço Java recebido.,
MSVirtualMachine-1,2025-11-07T01:13:45.897663180Z,mystack_get-data,[Service 1] Payload adaptado. Enviando para o serviço de otimização...,
MSVirtualMachine-1,2025-11-07T01:13:46.357728497Z,mystack_get-data,[Service 1] Dados do Java enviados com sucesso para o serviço 2.,
MSVirtualMachine-1,,mystack_optimize-data,regeshengen@MSVirtualMachine-1:~$ sudo docker service logs --since 5m --timestamps mystack_optimize-data,
MSVirtualMachine-2,2025-11-07T01:13:46.003983967Z,mystack_optimize-data,[Service 2] Dados de 'IMG_6160.jpeg' recebidos da fonte 'java-microservice'. Padronizando...,
MSVirtualMachine-2,2025-11-07T01:13:46.004018522Z,mystack_optimize-data,[Service 2] Padronização completa. Enviando documento final para o serviço de upload...,
MSVirtualMachine-2,2025-11-07T01:13:46.300772384Z,mystack_optimize-data,[Service 2] Documento enviado com sucesso para o serviço 3.,
MSVirtualMachine-1,,mystack_upload-data,regeshengen@MSVirtualMachine-1:~$ sudo docker service logs --since 5m --timestamps mystack_upload-data,
MSVirtualMachine-1,2025-11-07T01:13:46.097388100Z,mystack_upload-data,[Service 3] Recebendo metadados de 'undefined' para salvar.,
MSVirtualMachine-1,2025-11-07T01:13:46.216736505Z,mystack_upload-data,[Service 3] Metadados salvos com sucesso. ID: 690d47ca27bd7a86679704d7,
MSVirtualMachine-1,,mystack_mongo,regeshengen@MSVirtualMachine-1:~$ sudo docker service logs --since 5m --timestamps mystack_mongo,
MSVirtualMachine-1,2025-11-07T01:12:32.806942742Z,mystack_mongo,"{""t"":{""$date"":""2025-11-07T01:12:32.806+00:00""},""s"":""I"",  ""c"":""WTCHKPT"",  ""id"":22430,   ""ctx"":""Checkpointer"",""msg"":""WiredTiger message"",""attr"":{""message"":{""ts_sec"":1762477952,""ts_usec"":806581,""thread"":""1:0x772f192476c0"",""session_name"":""WT_SESSION.checkpoint"",""category"":""WT_VERB_CHECKPOINT_PROGRESS"",""log_id"":1000000,""category_id"":7,""verbose_level"":""INFO"",""verbose_level_id"":0,""msg"":""saving checkpoint snapshot min: 10, snapshot max: 10 snapshot count: 0, oldest timestamp: (0, 0) , meta checkpoint timestamp: (0, 0) base write gen: 7796""}}}",
MSVirtualMachine-1,2025-11-07T01:13:32.855122896Z,mystack_mongo,"{""t"":{""$date"":""2025-11-07T01:13:32.854+00:00""},""s"":""I"",  ""c"":""WTCHKPT"",  ""id"":22430,   ""ctx"":""Checkpointer"",""msg"":""WiredTiger message"",""attr"":{""message"":{""ts_sec"":1762478012,""ts_usec"":854738,""thread"":""1:0x772f192476c0"",""session_name"":""WT_SESSION.checkpoint"",""category"":""WT_VERB_CHECKPOINT_PROGRESS"",""log_id"":1000000,""category_id"":7,""verbose_level"":""INFO"",""verbose_level_id"":0,""msg"":""saving checkpoint snapshot min: 11, snapshot max: 11 snapshot count: 0, oldest timestamp: (0, 0) , meta checkpoint timestamp: (0, 0) base write gen: 7796""}}}",
MSVirtualMachine-1,2025-11-07T01:14:32.897380479Z,mystack_mongo,"{""t"":{""$date"":""2025-11-07T01:14:32.897+00:00""},""s"":""I"",  ""c"":""WTCHKPT"",  ""id"":22430,   ""ctx"":""Checkpointer"",""msg"":""WiredTiger message"",""attr"":{""message"":{""ts_sec"":1762478072,""ts_usec"":897060,""thread"":""1:0x772f192476c0"",""session_name"":""WT_SESSION.checkpoint"",""category"":""WT_VERB_CHECKPOINT_PROGRESS"",""log_id"":1000000,""category_id"":7,""verbose_level"":""INFO"",""verbose_level_id"":0,""msg"":""saving checkpoint snapshot min: 12, snapshot max: 12 snapshot count: 0, oldest timestamp: (0, 0) , meta checkpoint timestamp: (0, 0) base write gen: 7796""}}}",
MSVirtualMachine-1,2025-11-07T01:15:32.929182511Z,mystack_mongo,"{""t"":{""$date"":""2025-11-07T01:15:32.928+00:00""},""s"":""I"",  ""c"":""WTCHKPT"",  ""id"":22430,   ""ctx"":""Checkpointer"",""msg"":""WiredTiger message"",""attr"":{""message"":{""ts_sec"":1762478132,""ts_usec"":928812,""thread"":""1:0x772f192476c0"",""session_name"":""WT_SESSION.checkpoint"",""category"":""WT_VERB_CHECKPOINT_PROGRESS"",""log_id"":1000000,""category_id"":7,""verbose_level"":""INFO"",""verbose_level_id"":0,""msg"":""saving checkpoint snapshot min: 13, snapshot max: 13 snapshot count: 0, oldest timestamp: (0, 0) , meta checkpoint timestamp: (0, 0) base write gen: 7796""}}}",
