vm,timestamp,service,message,requestId
MSVirtualMachine-1,,mystack_user-publication-service,regeshengen@MSVirtualMachine-1:~$ sudo docker service logs --since 5m --timestamps mystack_user-publication-service,
MSVirtualMachine-2,2025-10-30T00:21:42.090192155Z,mystack_user-publication-service,[Java Service] Recebido upload. Título original: Title of Publication,
MSVirtualMachine-2,2025-10-30T00:21:42.213742974Z,mystack_user-publication-service,[Java Service] Metadados da imagem extraídos com sucesso. Tags encontradas: 145,
MSVirtualMachine-2,2025-10-30T00:21:42.213850041Z,mystack_user-publication-service,[Java Service] Buscando dados do usuário em: http://user-auth-service:8080/api/v1/uuid/a3b8d4f6-7e1c-4b9a-9d0f-2c5e1a8b7c6d,
MSVirtualMachine-2,2025-10-30T00:21:42.702582606Z,mystack_user-publication-service,[Java Service] Dados do usuário recebidos: admin,
MSVirtualMachine-2,2025-10-30T00:21:42.703128985Z,mystack_user-publication-service,[Java Service] Enviando payload combinado para o serviço Node.js em: http://get-data:8083/process-java-payload,
MSVirtualMachine-2,2025-10-30T00:21:43.021108084Z,mystack_user-publication-service,[Java Service] Resposta do serviço Node.js recebida. Status: 200 OK,
MSVirtualMachine-1,,mystack_user-auth-service,regeshengen@MSVirtualMachine-1:~$ sudo docker service logs --since 5m --timestamps mystack_user-auth-service,
MSVirtualMachine-1,2025-10-30T00:21:42.490888579Z,mystack_user-auth-service,2025-10-30T00:21:42.489Z  INFO 1 --- [demo] [nio-8080-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet',
MSVirtualMachine-1,2025-10-30T00:21:42.491010878Z,mystack_user-auth-service,2025-10-30T00:21:42.490Z  INFO 1 --- [demo] [nio-8080-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet',
MSVirtualMachine-1,2025-10-30T00:21:42.493350761Z,mystack_user-auth-service,2025-10-30T00:21:42.493Z  INFO 1 --- [demo] [nio-8080-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 2 ms,
MSVirtualMachine-1,,mystack_get-data,regeshengen@MSVirtualMachine-1:~$ sudo docker service logs --since 5m --timestamps mystack_get-data,
MSVirtualMachine-1,2025-10-30T00:21:42.775784466Z,mystack_get-data,[Service 1 - Rota /process-java-payload] Payload do serviço Java recebido.,
MSVirtualMachine-1,2025-10-30T00:21:42.776182963Z,mystack_get-data,[Service 1] Payload adaptado. Enviando para o serviço de otimização...,
MSVirtualMachine-1,2025-10-30T00:21:43.003141660Z,mystack_get-data,[Service 1] Dados do Java enviados com sucesso para o serviço 2.,
MSVirtualMachine-1,,mystack_optimize-data,regeshengen@MSVirtualMachine-1:~$ sudo docker service logs --since 5m --timestamps mystack_optimize-data,
MSVirtualMachine-2,2025-10-30T00:21:42.870544163Z,mystack_optimize-data,[Service 2] Dados de 'IMG_6160.jpeg' recebidos da fonte 'java-microservice'. Padronizando...,
MSVirtualMachine-2,2025-10-30T00:21:42.870807141Z,mystack_optimize-data,[Service 2] Padronização completa. Enviando documento final para o serviço de upload...,
MSVirtualMachine-2,2025-10-30T00:21:42.991814463Z,mystack_optimize-data,[Service 2] Documento enviado com sucesso para o serviço 3.,
MSVirtualMachine-1,,mystack_upload-data,regeshengen@MSVirtualMachine-1:~$ sudo docker service logs --since 5m --timestamps mystack_upload-data,
MSVirtualMachine-1,2025-10-30T00:21:42.948505846Z,mystack_upload-data,[Service 3] Recebendo metadados de 'undefined' para salvar.,
