regeshengen@MSVirtualMachine-1:~$ sudo docker service logs --since 5m --timestamps mystack_user-publication-service
2025-11-21T10:54:41.602115414Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Metadados da imagem extraídos com sucesso. Tags encontradas: 134 | RequestId: cb154d75-f8cb-4fc7-b197-3d3cc9e23c7a
2025-11-21T10:54:41.602140915Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Buscando dados do usuário em: http://user-auth-service:8080/api/v1/uuid/a3b8d4f6-7e1c-4b9a-9d0f-2c5e1a8b7c6d | RequestId: cb154d75-f8cb-4fc7-b197-3d3cc9e23c7a
2025-11-21T10:54:41.613033149Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Dados do usuário recebidos: admin | RequestId: cb154d75-f8cb-4fc7-b197-3d3cc9e23c7a
2025-11-21T10:54:41.613684863Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Enviando payload combinado para o serviço Node.js em: http://get-data:8083/process-java-payload | RequestId: cb154d75-f8cb-4fc7-b197-3d3cc9e23c7a
2025-11-21T10:54:41.647286584Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Resposta do serviço Node.js recebida. Status: 200 OK | RequestId: cb154d75-f8cb-4fc7-b197-3d3cc9e23c7a

2025-11-21T10:54:42.469059822Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Recebido upload. Título original: Publication title | RequestId: a76672f2-a802-4cd3-9463-385b039903e9
2025-11-21T10:54:42.475521261Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Metadados da imagem extraídos com sucesso. Tags encontradas: 134 | RequestId: a76672f2-a802-4cd3-9463-385b039903e9
2025-11-21T10:54:42.475593162Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Buscando dados do usuário em: http://user-auth-service:8080/api/v1/uuid/a3b8d4f6-7e1c-4b9a-9d0f-2c5e1a8b7c6d | RequestId: a76672f2-a802-4cd3-9463-385b039903e9
2025-11-21T10:54:42.493833154Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Dados do usuário recebidos: admin | RequestId: a76672f2-a802-4cd3-9463-385b039903e9
2025-11-21T10:54:42.494105760Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Enviando payload combinado para o serviço Node.js em: http://get-data:8083/process-java-payload | RequestId: a76672f2-a802-4cd3-9463-385b039903e9
2025-11-21T10:54:42.533222899Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Resposta do serviço Node.js recebida. Status: 200 OK | RequestId: a76672f2-a802-4cd3-9463-385b039903e9
2025-11-21T10:54:42.553513935Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Recebido upload. Título original: Publication title | RequestId: 6984e041-3da8-4764-806c-3f7c4133ecb1

2025-11-21T10:54:42.566153106Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Metadados da imagem extraídos com sucesso. Tags encontradas: 134 | RequestId: 6984e041-3da8-4764-806c-3f7c4133ecb1
2025-11-21T10:54:42.568366453Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Buscando dados do usuário em: http://user-auth-service:8080/api/v1/uuid/a3b8d4f6-7e1c-4b9a-9d0f-2c5e1a8b7c6d | RequestId: 6984e041-3da8-4764-806c-3f7c4133ecb1
2025-11-21T10:54:42.578885079Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Dados do usuário recebidos: admin | RequestId: 6984e041-3da8-4764-806c-3f7c4133ecb1
2025-11-21T10:54:42.579141285Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Enviando payload combinado para o serviço Node.js em: http://get-data:8083/process-java-payload | RequestId: 6984e041-3da8-4764-806c-3f7c4133ecb1
2025-11-21T10:54:42.604498229Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Resposta do serviço Node.js recebida. Status: 200 OK | RequestId: 6984e041-3da8-4764-806c-3f7c4133ecb1

2025-11-21T10:54:42.647176545Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Recebido upload. Título original: Publication title | RequestId: d7e144d9-c58a-41a6-b6c3-3db8cfe307e8
2025-11-21T10:54:42.654150995Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Metadados da imagem extraídos com sucesso. Tags encontradas: 134 | RequestId: d7e144d9-c58a-41a6-b6c3-3db8cfe307e8
2025-11-21T10:54:42.654411700Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Buscando dados do usuário em: http://user-auth-service:8080/api/v1/uuid/a3b8d4f6-7e1c-4b9a-9d0f-2c5e1a8b7c6d | RequestId: d7e144d9-c58a-41a6-b6c3-3db8cfe307e8
2025-11-21T10:54:42.664469716Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Dados do usuário recebidos: admin | RequestId: d7e144d9-c58a-41a6-b6c3-3db8cfe307e8
2025-11-21T10:54:42.664490117Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Enviando payload combinado para o serviço Node.js em: http://get-data:8083/process-java-payload | RequestId: d7e144d9-c58a-41a6-b6c3-3db8cfe307e8
2025-11-21T10:54:42.710710509Z mystack_user-publication-service.2.kh707wmnhznp@MSVirtualMachine-1    | [Java Service] Resposta do serviço Node.js recebida. Status: 200 OK | RequestId: d7e144d9-c58a-41a6-b6c3-3db8cfe307e8

