vm,timestamp,service,message,requestId
MSVirtualMachine-1,,mystack_user-publication-service,regeshengen@MSVirtualMachine-1:~$ sudo docker service logs --since 5m --timestamps mystack_user-publication-service,
MSVirtualMachine-2,2025-10-31T00:21:10.616681509Z,mystack_user-publication-service,[Java Service] Recebido upload. Título original: Title of Publication,
MSVirtualMachine-2,2025-10-31T00:21:10.622406219Z,mystack_user-publication-service,[Java Service] Metadados da imagem extraídos com sucesso. Tags encontradas: 145,
MSVirtualMachine-2,2025-10-31T00:21:10.622654478Z,mystack_user-publication-service,[Java Service] Buscando dados do usuário em: http://user-auth-service:8080/api/v1/uuid/a3b8d4f6-7e1c-4b9a-9d0f-2c5e1a8b7c6d,
MSVirtualMachine-2,2025-10-31T00:21:10.638029034Z,mystack_user-publication-service,[Java Service] Dados do usuário recebidos: admin,
MSVirtualMachine-2,2025-10-31T00:21:10.638201502Z,mystack_user-publication-service,[Java Service] Enviando payload combinado para o serviço Node.js em: http://get-data:8083/process-java-payload,
MSVirtualMachine-2,2025-10-31T00:21:10.671604288Z,mystack_user-publication-service,[Java Service] Resposta do serviço Node.js recebida. Status: 200 OK,
MSVirtualMachine-1,,mystack_user-auth-service,regeshengen@MSVirtualMachine-1:~$ sudo docker service logs --since 5m --timestamps mystack_user-auth-service,
MSVirtualMachine-1,2025-10-31T00:21:10.635200800Z,mystack_user-auth-service,[Java Service] Usuário encontrado por UUID: admin (a3b8d4f6-7e1c-4b9a-9d0f-2c5e1a8b7c6d),
,,,error from daemon in stream: Error grabbing logs: rpc error: code = Unknown desc = warning: incomplete log stream. some logs could not be retrieved for the following reasons: task 25fv2wg95c7inrwzkgyyz1zb7 has not been scheduled,
MSVirtualMachine-1,,mystack_get-data,regeshengen@MSVirtualMachine-1:~$ sudo docker service logs --since 5m --timestamps mystack_get-data,
MSVirtualMachine-2,2025-10-31T00:21:10.644103235Z,mystack_get-data,[Service 1 - Rota /process-java-payload] Payload do serviço Java recebido.,
MSVirtualMachine-2,2025-10-31T00:21:10.644162120Z,mystack_get-data,[Service 1] Payload adaptado. Enviando para o serviço de otimização...,
MSVirtualMachine-2,2025-10-31T00:21:10.670073527Z,mystack_get-data,[Service 1] Dados do Java enviados com sucesso para o serviço 2.,
MSVirtualMachine-1,,mystack_optimize-data,regeshengen@MSVirtualMachine-1:~$ sudo docker service logs --since 5m --timestamps mystack_optimize-data,
MSVirtualMachine-1,2025-10-31T00:21:10.651528747Z,mystack_optimize-data,[Service 2] Dados de 'IMG_6160.jpeg' recebidos da fonte 'java-microservice'. Padronizando...,
MSVirtualMachine-1,2025-10-31T00:21:10.652154149Z,mystack_optimize-data,[Service 2] Padronização completa. Enviando documento final para o serviço de upload...,
MSVirtualMachine-1,2025-10-31T00:21:10.668171796Z,mystack_optimize-data,[Service 2] Documento enviado com sucesso para o serviço 3.,
MSVirtualMachine-1,,mystack_upload-data,regeshengen@MSVirtualMachine-1:~$ sudo docker service logs --since 5m --timestamps mystack_upload-data,
MSVirtualMachine-1,2025-10-31T00:21:10.660248173Z,mystack_upload-data,[Service 3] Recebendo metadados de 'undefined' para salvar.,
