vm,timestamp,service,message,requestId
MSVirtualMachine-1,,mystack_user-publication-service,regeshengen@MSVirtualMachine-1:~$ sudo docker service logs --since 5m --timestamps mystack_user-publication-service,
MSVirtualMachine-1,2025-10-30T00:32:13.530632151Z,mystack_user-publication-service,[Java Service] Recebido upload. Título original: Title of Publication,
MSVirtualMachine-1,2025-10-30T00:32:13.539381475Z,mystack_user-publication-service,[Java Service] Metadados da imagem extraídos com sucesso. Tags encontradas: 145,
MSVirtualMachine-1,2025-10-30T00:32:13.539518775Z,mystack_user-publication-service,[Java Service] Buscando dados do usuário em: http://user-auth-service:8080/api/v1/uuid/a3b8d4f6-7e1c-4b9a-9d0f-2c5e1a8b7c6d,
MSVirtualMachine-1,2025-10-30T00:32:13.549322201Z,mystack_user-publication-service,[Java Service] Dados do usuário recebidos: admin,
MSVirtualMachine-1,2025-10-30T00:32:13.549446902Z,mystack_user-publication-service,[Java Service] Enviando payload combinado para o serviço Node.js em: http://get-data:8083/process-java-payload,
MSVirtualMachine-1,2025-10-30T00:32:13.589916310Z,mystack_user-publication-service,[Java Service] Resposta do serviço Node.js recebida. Status: 200 OK,
MSVirtualMachine-1,,mystack_user-auth-service,regeshengen@MSVirtualMachine-1:~$ sudo docker service logs --since 5m --timestamps mystack_user-auth-service,
MSVirtualMachine-1,,mystack_get-data,regeshengen@MSVirtualMachine-1:~$ sudo docker service logs --since 5m --timestamps mystack_get-data,
MSVirtualMachine-1,2025-10-30T00:32:13.555201217Z,mystack_get-data,[Service 1 - Rota /process-java-payload] Payload do serviço Java recebido.,
MSVirtualMachine-1,2025-10-30T00:32:13.555975019Z,mystack_get-data,[Service 1] Payload adaptado. Enviando para o serviço de otimização...,
MSVirtualMachine-1,2025-10-30T00:32:13.579636982Z,mystack_get-data,[Service 1] Dados do Java enviados com sucesso para o serviço 2.,
MSVirtualMachine-1,,mystack_optimize-data,regeshengen@MSVirtualMachine-1:~$ sudo docker service logs --since 5m --timestamps mystack_optimize-data,
MSVirtualMachine-1,2025-10-30T00:32:13.562932638Z,mystack_optimize-data,[Service 2] Dados de 'IMG_6160.jpeg' recebidos da fonte 'java-microservice'. Padronizando...,
MSVirtualMachine-1,2025-10-30T00:32:13.563176938Z,mystack_optimize-data,[Service 2] Padronização completa. Enviando documento final para o serviço de upload...,
MSVirtualMachine-1,2025-10-30T00:32:13.577346476Z,mystack_optimize-data,[Service 2] Documento enviado com sucesso para o serviço 3.,
MSVirtualMachine-1,,mystack_upload-data,regeshengen@MSVirtualMachine-1:~$ sudo docker service logs --since 5m --timestamps mystack_upload-data,
MSVirtualMachine-1,2025-10-30T00:32:13.571821761Z,mystack_upload-data,[Service 3] Recebendo metadados de 'undefined' para salvar.,
MSVirtualMachine-1,2025-10-30T00:32:13.575264371Z,mystack_upload-data,[Service 3] Metadados salvos com sucesso. ID: 6902b20d542f6749127d81b7,
MSVirtualMachine-1,,mystack_mongo,regeshengen@MSVirtualMachine-1:~$ sudo docker service logs --since 5m --timestamps mystack_mongo,
