vm,timestamp,service,message,requestId
MSVirtualMachine-1,,mystack_user-publication-service,regeshengen@MSVirtualMachine-1:~$ sudo docker service logs --since 2m --timestamps mystack_user-publication-service,
MSVirtualMachine-1,2025-11-21T00:43:11.308025322Z,mystack_user-publication-service,2025-11-21T00:43:11.307Z  INFO 1 --- [app] [nio-8081-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet',
MSVirtualMachine-1,2025-11-21T00:43:11.308874644Z,mystack_user-publication-service,2025-11-21T00:43:11.308Z  INFO 1 --- [app] [nio-8081-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet',
MSVirtualMachine-1,2025-11-21T00:43:11.311164202Z,mystack_user-publication-service,2025-11-21T00:43:11.310Z  INFO 1 --- [app] [nio-8081-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 2 ms,
MSVirtualMachine-1,2025-11-21T00:43:13.023364280Z,mystack_user-publication-service,RequestId: ba516fa6-f040-41e2-b3eb-99dddffd5879,ba516fa6-f040-41e2-b3eb-99dddffd5879
MSVirtualMachine-1,2025-11-21T00:43:13.106008193Z,mystack_user-publication-service,RequestId: ba516fa6-f040-41e2-b3eb-99dddffd5879,ba516fa6-f040-41e2-b3eb-99dddffd5879
MSVirtualMachine-1,2025-11-21T00:43:13.106366202Z,mystack_user-publication-service,RequestId: ba516fa6-f040-41e2-b3eb-99dddffd5879,ba516fa6-f040-41e2-b3eb-99dddffd5879
MSVirtualMachine-1,2025-11-21T00:43:13.281752486Z,mystack_user-publication-service,RequestId: ba516fa6-f040-41e2-b3eb-99dddffd5879,ba516fa6-f040-41e2-b3eb-99dddffd5879
MSVirtualMachine-1,2025-11-21T00:43:13.282859614Z,mystack_user-publication-service,RequestId: ba516fa6-f040-41e2-b3eb-99dddffd5879,ba516fa6-f040-41e2-b3eb-99dddffd5879
MSVirtualMachine-1,2025-11-21T00:43:13.418343078Z,mystack_user-publication-service,RequestId: ba516fa6-f040-41e2-b3eb-99dddffd5879,ba516fa6-f040-41e2-b3eb-99dddffd5879
MSVirtualMachine-1,,mystack_user-auth-service,regeshengen@MSVirtualMachine-1:~$ sudo docker service logs --since 5m --timestamps mystack_user-auth-service,
MSVirtualMachine-2,2025-11-21T00:43:13.251596548Z,mystack_user-auth-service,RequestId: ba516fa6-f040-41e2-b3eb-99dddffd5879,ba516fa6-f040-41e2-b3eb-99dddffd5879
MSVirtualMachine-1,,mystack_get-data,regeshengen@MSVirtualMachine-1:~$ sudo docker service logs --since 5m --timestamps mystack_get-data,
MSVirtualMachine-2,2025-11-21T00:43:13.335371088Z,mystack_get-data,RequestId: ba516fa6-f040-41e2-b3eb-99dddffd5879,ba516fa6-f040-41e2-b3eb-99dddffd5879
